frame,throttle,vx,vy,r,up,left,right	
275,5.0000,-58.4680,62.2043,-2.2900,1,0,1	
276,5.0000,-59.7495,62.1102,-2.2287,1,0,1	
277,5.0000,-61.1048,61.9986,-2.1596,1,0,1	
278,5.0000,-62.5332,61.8685,-2.0828,1,0,1	
279,5.0000,-64.0210,61.7416,-2.0108,1,0,0	
280,5.0000,-65.5545,61.6181,-1.9432,1,0,0	
281,5.0000,-67.1225,61.4989,-1.8797,1,0,0	
282,5.0000,-68.7155,62.8760,-1.8199,1,0,0	
283,5.0000,-70.3250,61.2754,-1.7637,1,0,0	
284,5.0000,-71.9439,62.4405,-1.7107,1,0,0	
285,5.0000,-73.5662,61.0726,-1.6607,1,0,0	
286,5.0000,-75.1865,60.9789,-1.6135,1,0,0	
287,5.0000,-76.8006,60.8902,-1.5689,1,0,0	
288,5.0000,-78.4047,60.8063,-1.5267,1,0,0	
289,5.0000,-79.9956,60.7270,-1.4868,1,0,0	
290,5.0000,-81.5709,60.6521,-1.4489,1,0,0	
291,5.0000,-83.1283,60.5813,-1.4130,1,0,0	
292,5.0000,-84.6661,60.5144,-1.3789,1,0,0	
293,5.0000,-86.1829,60.4512,-1.3464,1,0,0	
294,5.0000,-87.6775,60.3915,-1.3155,1,0,0	
295,5.0000,-89.1490,60.3350,-1.2861,1,0,0	
296,5.0000,-90.5967,60.2816,-1.2580,1,0,0	
297,5.0000,-92.0200,60.2310,-1.2311,1,0,0	
298,5.0000,-93.4186,60.1830,-1.2055,1,0,0	
299,5.0000,-94.7921,60.1376,-1.1809,1,0,0	
300,5.0000,-96.1405,60.0944,-1.1573,1,0,0	
301,5.0000,-97.4635,60.0535,-1.1347,1,0,0	
302,5.0000,-98.7613,60.0145,-1.1130,1,0,0	
303,5.0000,-100.0339,59.9775,-1.0922,1,0,0	
304,5.0000,-101.2813,59.9422,-1.0721,1,0,0	
305,5.0000,-102.5038,59.9085,-1.0527,1,0,0	
306,5.0000,-103.7014,59.8764,-1.0340,1,0,0	
307,5.0000,-104.8745,59.8458,-1.0160,1,0,0	
308,5.0000,-106.0231,59.8165,-0.9986,1,0,0	
309,5.0000,-107.1476,59.7884,-0.9817,1,0,0	
310,5.0000,-108.2482,59.7616,-0.9654,1,0,0	
311,5.0000,-109.3252,59.7358,-0.9496,1,0,0	
312,5.0000,-110.3789,59.4483,-0.9343,1,0,0	
313,5.0000,-111.4095,59.1384,-0.9194,1,0,0	
314,5.0000,-112.4173,58.8074,-0.9049,1,0,0	
315,5.0000,-113.4026,59.6427,-0.8908,1,0,0	
316,5.0000,-114.3657,59.6217,-0.8771,1,0,0	
317,5.0000,-115.2936,59.5875,-0.8541,1,0,1	
318,5.0000,-116.1742,59.1297,-0.8221,1,0,1	
